"CaseID","weight1","weight2","weight3","sflag","D1","D2","D3","D4A","D4B","D4C","D4E","D5","D7","D8A","S2","D6","R0","R1_a","R1_b","R1_c","R1_d","R1_e","R1_f","R1_g","R1_h","R1_Refused","R3","R7","H0_a","H0_b","H0_c","H0_d","H0_e","H0_f","H0_g","H0_Refused","H1","H4","H5","H7_a","H7_b","H7_c","H7_d","H7_e","H7_f","H7_Refused","M0","M2","M3","M4","L0","L1_a","L1_b","L1_c","L1_d","L1_e","L1_f","L1_Refused","A0","A0A_a","A0A_b","A0A_c","A0A_d","A0A_e","A0A_f","A0A_g","A0A_h","A0A_Refused","A0B","A1A","A1B","A1C","A2A","A4","C1","C2A","C3","C4A","C4B","C4C","C4D","ED0","ED1","ED3","ED4","ED5","ED6A_a","ED6A_b","ED6A_c","ED6A_d","ED6A_e","ED6A_f","ED8","ED9","ED10","ED11A_a","ED11A_b","ED11A_c","ED11A_d","ED11A_e","ED11A_f","ED12","ED13_a","ED13_b","ED13_c","ED13_d","ED13_e","ED13_f","ED13_g","ED13_Refused","ED14_a","ED14_b","ED14_c","ED14_d","ED14_e","ED14_f","ED14_g","ED14_h","ED14_Refused","ED15","ED16","S7_a","S7_b","S7_c","T0_A1","T0_B1","T0_C1","T0_D1","T0_1_Refused","T0_A2","T0_B2","T0_C2","T0_D2","T0_2_Refused","T0_A3","T0_B3","T0_C3","T0_D3","T0_3_Refused","T1_A1","T1_A2","T1_A3","T1_B1","T1_B2","T1_B3","T1_C1","T1_C2","T1_C3","T1_D1","T1_D2","T1_D3","T1_E1","T1_E2","T1_E3","T2","T2B_1","T2B_2","T2B_3","T2B_4","T2B_5","T2B_6","T5","T7","E1_a","E1_b","E1_c","E1_d","E1_e","E1_f","E2","E4_a","E4_b","E4_c","E4_d","E4_e","E4_f","E4_g","E4_h","E4_i","B2","DOV_B3B4","B3","B4","B5","B6","B7","K0","K1","K1B","K2_b","K2_c","K2_d","K2_e","K2_f","K2_g","K2_h","K2A","K2B","K2C","K14_a","K14_b","K14_c","K14_d","K14_e","K14_f","K14_g","K14_h","K14_Refused","K16","K17","K18","K3_a","K3_b","K3_c","K3_d","K3_e","K3_f","K3_g","K3_h","K3_i","K3_j","K3_k","K3_l","K5A","K8A","K9_a","K9_b","K9_c","K9_d","K9_e","K9_f","K10_a","K10_b","K10_c","K10_d","K10_e","K10_f","K10_g","K10_h","K10_i","K10_j","K10_k","X1","X2_a","X2_b","X2_c","X2_d","X2_e","X2_f","X2_g","X2_h","X2_i","X2_j","X2_Refused","X9","X10","I1","I2","I2A","I3_a","I3_b","I3_c","I3_d","I3_e","I3_f","I3_g","I3_h","I3_i","I3_j","I3_k","I3_Refused","I7","E1B","E1A","E3A_a","E3A_b","E3A_c","E3A_d","E3A_e","E3A_f","E3A_g","E3A_h","E3A_i","E3A_Refused","E3B","ppcmdate","ppage","ppagecat","ppagect4","ppethm","ppgender","pphhhead","pphhsize","pphouse","ppincimp","ppmarit","ppmsacat","ppreg9","pprent","ppstaten","PPT01","PPT25","PPT612","PPT1317","PPT18OV","ppwork","ppnet","sector","control","ppcm0160","ind2","T2B_Refused","T2B_total","S7_total","E1_total","avoidtreatment","insurance","ppreg4"
23,2.3043,1.8596,2.6962,2,1,1,1,,,3,2,1,1,0,1,2008,,,,,,,,,,,,,1,0,1,1,0,1,0,0,2,4,2,0,1,1,0,0,0,0,1,0,5,1000,,,,,,,,,1,0,0,0,1,0,0,0,0,0,,0,0,0,,1,5,1,1,,,,,6,8,,,,,,,,,,2004,2009,4,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,2,2,1,1,999,1,0,0,0,0,1,0,0,0,0,,,,,,40000,-1,,800,-1,,3,8,,0,0,,0,0,,,0,0,40000,0,0,0,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,4,4,4,4,4,2,4,67,1,0,1,1,0,0,1,4,,2,,,,,,,,,,888,3,2,1,8,8,0,1,1,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,1,10,3,1,1,1,0,0,1,0,1,1,0,0,0,3,1,,1,0,0,0,0,0,0,0,0,0,,20140515,28,2,1,1,1,1,2,2,16,1,1,3,1,35,0,0,0,0,2,1,1,1,1,2,525000,0,40000,1,2,0,1,2
27,0.3519,0.2755,0.3529,2,1,1,1,,,3,1,1,1,0,1,1986,,,,,,,,,,,,,1,0,0,1,0,1,0,0,3,8,3,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,8,8,0,,,,,,3,6,1976,1979,3,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,8,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,3,2,2,1,4,1,1,,0,0,0,0,0,0,0,,,,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,2,0,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,1,0,0,1,20140508,62,5,4,1,1,1,2,1,11,1,1,1,1,14,0,0,0,0,2,1,1,2,2,24,334000,0,0,0,0,0,1,1
28,1.3373,1.0548,1.544,2,1,1,1,,,2,1,4,1,0,2,,2,1,1,0,0,1,1,0,0,0,1575,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,,0,0,0,,8,8,1,0,1,0,0,0,6,1,,,,,,,,,,1997,-1,2,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,7,6,1,0,999,1,0,1,0,0,,,,,,,,,,,5000,,,185,,,1,,,0,,,0,,,,0,0,0,0,0,0,1,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,1,3,4,-1,-1,-1,2,1,,0,0,0,0,0,0,0,,,,1,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,1,-1,,,,,,,,,,,,,,2,0,0,1,1,0,0,0,0,0,0,0,0,4,20140608,39,3,2,1,2,1,1,3,14,1,1,9,1,91,0,0,0,0,1,1,1,1,1,29,711000,1,,1,0,1,1,4
29,1.6953,1.3599,1.2661,2,1,8,,,3,,,,1,0,1,1980,,,,,,,,,,,,,1,0,0,1,0,1,0,0,2,3,3,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,1,5,1,1,,,,,9,2,,,,,,,,,,1948,1952,1,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,8,8,0,3,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,2,1,,1,0,1,0,0,0,0,0,0,0,,20140508,85,7,4,1,1,1,1,3,15,3,0,5,1,58,0,0,0,0,1,5,0,2,2,,,0,0,0,2,0,1,3
31,0.4863,0.3832,0.5124,2,1,8,,,3,,,1,1,0,1,2004,,,,,,,,,,,,,0,0,1,0,0,0,0,0,3,4,3,,,,,,,,1,0,1,800,,,,,,,,,0,,,,,,,,,,0,,,,,1,5,1,1,,,,,7,8,,,,,,,,,,1976,1980,1,1,1,0,0,0,1,4,,,,,,,,,,,,,,,,,,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,3,3,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,1,1,,0,0,1,0,0,0,0,0,0,0,,20120630,57,5,3,1,1,1,2,1,13,1,1,8,1,86,0,0,0,0,2,1,1,1,1,1,931000,0,0,0,2,0,1,4
33,0.2825,0.2202,0.1135,2,1,8,,,3,,,,1,0,1,1999,,,,,,,,,,,,,1,0,0,0,1,1,0,0,2,3,3,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,2,4,1,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,0,,,,,,,,,,1,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,-1,0,1,1,1,0,0,0,0,0,0,3,1,3,3,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,3,0,0,0,0,1,0,0,0,0,0,0,0,,20140503,84,7,4,1,2,1,1,1,5,2,1,3,1,33,0,0,0,0,1,5,1,,,,,0,0,0,0,0,1,2
34,1.5734,1.2576,1.8485,2,1,1,1,,,2,1,,1,0,2,,3,1,0,0,0,1,0,0,0,0,2300,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,0,0,0,,1,1,0,,3,3,1,0,0,1,1,0,9,2,,,,,,,,,,2006,2010,2,0,1,1,0,0,0,2,,,,,,,,,,,,,,,,,,7,7,1,3,999,1,0,1,0,0,,,,,,,,,,,150000,,,219,,,1,,,1,,,0,,,,0,0,0,0,150000,0,1,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,3,3,3,2,4,1,2,999,0,0,0,1,0,0,0,,,,1,0,0,0,0,0,0,0,0,,,4,8,1,8,8,8,8,8,8,8,8,8,8,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,1,5,2,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,20140502,26,2,1,1,2,0,4,1,14,5,1,1,1,14,0,0,0,0,4,7,1,2,2,,,0,150000,1,0,1,1,1
35,0.2445,0.1909,0.3059,2,1,1,1,,,3,1,6,1,1,1,1985,,,,,,,,,,,,,0,0,0,0,1,1,0,0,2,4,2,,,,,,,,1,0,2,1723,,,,,,,,,1,0,0,0,1,1,0,0,0,0,,1,1,0,,2,3,1,0,1,1,1,0,5,8,,,,,,,,,,1983,1986,3,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,2,4,0,0,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,2,1,1,3,4,3,7,888,0,1,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,3,0,0,0,1,1,0,0,1,0,0,0,0,2,20140514,51,4,3,1,2,1,2,1,12,1,1,2,1,22,0,0,0,0,2,1,1,4,1,1,722000,0,0,0,0,1,1,1
37,1.4828,1.1593,1.6047,2,1,1,1,,,3,1,7,1,0,1,2012,,,,,,,,,,,,,0,0,1,0,1,1,0,0,3,4,3,0,1,0,0,0,0,0,1,0,1,1451,,,,,,,,,1,0,0,1,0,0,0,0,0,0,,0,1,0,,2,5,1,1,,,,,6,6,,,,,,,,,,2002,2007,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,6,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,3,-1,4,4,4,2,4,60,1,0,0,1,0,0,0,3,,1,,,,,,,,,,6,3,2,8,0,0,0,1,1,1,8,8,8,0,1,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,2,10,3,0,1,1,1,0,0,0,1,0,0,0,0,3,1,,1,0,0,0,0,0,0,0,0,0,,20140502,30,2,2,1,1,1,3,1,13,1,1,2,1,21,1,0,0,0,2,1,1,1,1,4,314000,0,0,0,2,0,1,1
38,0.4588,0.3567,0.1899,2,3,8,,,3,,,,1,0,1,1967,,,,,,,,,,,,,1,0,1,1,1,1,0,0,3,8,3,,,,,,,,0,,,,2007,0,0,0,0,0,1,0,0,,,,,,,,,,0,,,,,1,5,1,1,,,,,4,11,1988,1988,1,1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,3,1,2,2,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,,,,,,,,,,,,,,,2,1,,1,0,0,0,0,0,0,0,0,0,,20140509,81,7,4,1,2,1,1,1,9,2,1,9,1,93,0,0,0,0,1,5,1,1,1,,,0,0,0,2,1,1,4
40,0.6613,0.5252,0.7147,2,1,1,1,,,3,1,,1,0,1,2000,,,,,,,,,,,,,1,0,0,0,0,0,0,0,2,3,3,,,,,,,,1,0,2,950,,,,,,,,,0,,,,,,,,,,0,,,,,1,5,1,1,,,,,6,5,,,,,,,,,,1973,1977,2,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,2,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,2500,0,0,0,1,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,3,4,4,4,4,3,3,66,1,0,1,0,1,0,0,3,,2,,,,,,,,,,23,888,4,1,8,8,8,1,1,0,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,2,35,3,0,1,0,0,0,0,1,0,0,0,0,0,2,1,,1,0,0,0,0,0,0,0,0,0,,20140426,59,5,3,1,1,1,1,2,16,3,1,5,1,54,0,0,0,0,1,1,1,1,1,3,541500,0,2500,0,2,0,1,3
