CaseID,weight_orig,XYEAR,D0,D1,DOV_LIVARR,D2,D3,D4A,D4B,D4C,D5,S1A,S1B,S2,S3,S4,S5,S4A,S5A,S7_a,S7_b,S7_c,S7_d,DOV_SDEBT1,DOV_SDEBT2,DOV_SDEBT3,DOV_SDEBT4,S11,S12,S13A,S13B,S14_a,S14_b,S15,R1_a,R1_b,R1_c,R1_d,R1_e,R1_f,R1_g,R1_h,R1_Refused,R2,R3A,H0,H1,H4,H5,H6,L1,L2,L1A,L2A,L3,A1A_a,A1A_b,A1A_c,A1B_a,A1B_b,A1B_c,A3,A4,A5,A6,A7,C1,C2_a,C2_b,C3,C4_a,C4_b,C4_c,C4_d,T1_A1,T1_A2,T1_A3,T1_A4,T1_B1,T1_C1,T1_D1,T1_E1,T1_B2,T1_C2,T1_D2,T1_E2,T1_B3,T1_C3,T1_D3,T1_E3,T1_B4,T1_C4,T1_D4,T1_E4,T1A_F1,T1A_F2,T1A_F3,T1A_F4,T1A_G1,T1A_G2,T1A_G3,T1A_G4,T2,T3,T4,T6,T7,T8,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E2,E3,E4_a,E4_b,E4_c,E4_d,E4_e,E4_f,E4_g,E4_h,B1_a,B1_b,B2,B3,K0,K1,K2_a,K2_b,K2_c,K2_d,K2_e,K2_f,K2_g,K2_h,K2_Refused,K3_a,K3_b,K3_c,K3_d,K3_e,K3_f,K3_g,K3_h,K3_i,K3_j,K3_k,K3_l,K3_Refused,K4,K5,K6,K7,K8,K9_a,K9_b,K9_c,K9_d,K9_e,K10_a,K10_b,K10_c,K10_d,K10_e,K10_f,K10_g,K10_h,K10_i,K10_j,K10_k,K10_Refused,K11,K12,K13,X1,X2_a,X2_b,X2_c,X2_d,X2_e,X2_f,X2_g,X2_h,X2_i,X2_j,X2_k,X2_Refused,X3,X4_a,X4_b,X4_c,X4_d,X4_e,X4_f,X4_Refused,X5,X6_a,X6_b,X6_c,X6_d,X6_e,X6_f,X6_g,X6_Refused,X7,X8,X9,X10,Y1,Y2,DOV_Y3_Y4,Y3_a,Y3_b,Y3_c,Y3_d,Y3_e,Y3_Refused,Y4_a,Y4_b,Y4_c,Y4_d,Y4_e,Y4_Refused,I1,I2,I3_a,I3_b,I3_c,I3_d,I3_e,I3_f,I3_g,I3_h,I3_i,I3_j,I3_k,I3_Refused,I4,I4A,I5,I6,I6A,I7,I8_a,I8_b,I8_c,I9,I10_a,I10_b,I10_c,I10_d,I10_e,I10_f,I10_g,I10_Refused,DOV_E1A_E1B,E1A,E1B,E3B_a,E3B_b,E3B_c,E3B_d,E3B_e,E3B_f,E3B_g,E3B_h,E3B_i,E3B_Refused,E4B,G1,G2,G3,P3,P4,P5,P6,P7,P8,PPAGE,PPAGECAT,PPAGECT4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,PPREG9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET,sector,control,weight,totalstudentloan,A1a,A1b,A1c,normincome,normalincome,income,insurance,avoidtreatment,T6a,studentloans
1368,2.9238,1958,5,1,,2,,,,,,,0,2,0,,,,,1,0,0,0,1,0,0,0,0,0,,4,1,0,1,0,0,0,1,0,0,0,0,0,2,680,,,,,,,,,,,,,,,,1,0,3,3,3,0,3,0,0,,,,,,3,,,,-1,1,-1,-1,,,,,,,,,,,,,11000,,,,150,,,,0,,4,8,2,,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,5,5,2,2,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,,,9,5,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,0,,0,0,2,2,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,7000,,1,23000,,3,400,0,600,1,,,,,,,,,1,1,,0,0,0,0,0,0,0,1,0,0,,2,1,5,4,1,1,,,1,55,5,3,10,3,4,2,1,2,2,2,5,1,4,8,2,86,0,0,0,0,2,4,0,,,1.8441,11000,,,1,23000,3,2,0,1,8,1
4280,2.2462,1978,5,2,1,3,,,,,,,1,2,0,,,,,1,999,0,999,1,0,0,0,0,1,,5,0,0,8,0,0,1,1,1,0,0,0,0,1,350,,,,,,,,,,,,,,1,0,1,0,3,3,3,0,2,0,0,,,,,,3,,,,0,1,1,1,,,,,,,,,,,,,41333,,,,423,,,,0,,3,13,3,,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,5,5,1,2,2,7,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,3,0,0,8,4,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,1,1,1,0,3,3,2,,,,,,,1,1,1,1,1,0,3,0,,,,,,,,,,,,,12500,,2,,,1,500,300,200,3,0,0,1,1,1,0,0,0,2,,1,0,0,1,0,0,0,1,0,0,0,1,,,,4,1,2,,,,35,3,2,10,3,2,2,1,5,3,4,5,1,2,3,2,33,0,0,4,0,1,2,0,3,3,2.2972,41333,1,0,1,12500,2,2,1,0,2,1
1338,.3903,1963,2,2,1,1,1,,,,2,1,,1,,1,0,,,1,0,999,999,1,0,0,0,0,1,,7,0,0,1,,,,,,,,,,,,2000,2,2,3,,,,,,,0,0,1,,,,0,3,4,3,,1,0,0,,,,,,2,,,,1,0,1,1,,,,,,,,,,,,,14000,,,,400,,,,0,,5,9,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5,5,1,1,3,8,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,,,,,,,,,1,3,0,0,1,1,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,44000,,3,35000,,3,1000,0,0,2,0,0,0,1,0,0,0,0,2,,0,0,0,1,0,0,0,0,0,0,0,1,,,-1,4,1,1,,,1,50,4,3,10,3,5,1,1,2,1,11,6,1,1,2,1,21,0,0,0,0,2,1,1,6,3,.3636,14000,0,0,1,35000,4,4,1,1,9,1
1728,1.4007,1971,3,2,1,1,1,,,,,,1,1,,,,1,0,1,999,999,999,1,0,0,0,3,0,,5,1,0,0,,,,,,,,,,,,2008,3,4,2,1,,,,,,,,,,,0,0,1,,1,,4,0,0,0,1,0,1,0,4,,,,1,-1,-1,-1,,,,,,,,,,,,,14500,,,,170,,,,1,2008,4,8,3,1,0,0,0,0,0,0,1,1,1,0,0,-1,0,0,0,0,5,5,3,3,2,6,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,8,6,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,1,1,1,1,0,0,0,,,,,,,,,1,2,0,1,2,2,,,,,,,,,,,,,,2,8,0,1,1,1,0,1,0,0,0,0,0,0,56000,,1,58000,,2,50,150,800,1,,,,,,,,,1,1,,0,1,0,0,0,0,0,0,0,0,0,1,1,,3,1,2,,,,42,3,2,12,4,1,1,1,2,1,12,3,1,3,7,1,71,0,1,0,0,1,1,1,2,2,1.2173,14500,,,0,58000,5,5,1,0,8,1
4096,.4019,1979,1,2,1,6,,3,,,1,1,,2,0,,,,,1,1,0,0,1,1,0,0,0,1,,5,0,0,0,0,0,1,0,0,0,0,0,0,3,700,,,,,,,,,,,0,0,0,,,,0,2,1,1,0,3,0,0,,,,,,2,2,,,0,1,0,0,1,0,0,0,,,,,,,,,25000,25000,,,,,,,0,,3,13,3,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,,,5,4,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3,1,0,8,3,,,,,,,,0,0,0,0,1,0,2,0,,,,,,,,,,,,,40000,,1,40000,,2,1000,0,0,1,,,,,,,,,2,,0,0,0,1,0,1,0,1,0,0,0,0,,,,4,1,1,,,2,34,2,2,13,4,1,1,1,4,3,10,1,1,3,7,2,74,0,1,0,1,2,7,1,2,2,.2778,50000,0,0,0,40000,4,4,0,1,1,1
28,1.4479,1975,-1,1,,1,1,,,,,,1,2,0,,,,,1,999,999,999,1,0,0,0,1,0,,7,0,0,0,1,1,0,0,0,1,0,0,0,0,875,,,,,,,,,,,,,,,,0,0,8,,8,0,8,0,0,0,1,0,0,0,2,,,,1,0,0,0,,,,,,,,,,,,,8000,,,,200,,,,1,1997,3,13,3,0,0,0,0,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,5,5,3,3,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,,,5,5,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,,,,,,,,,0,,0,0,2,8,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,4,2,,,2,0,0,1000,1,,,,,,,,,2,,0,0,1,0,0,0,0,0,0,0,0,1,,,,4,-1,,,,,38,3,2,12,4,1,2,1,1,3,11,5,1,4,9,2,91,0,0,0,0,1,1,1,4,1,1.2551,8000,,,0,,4,4,1,1,11,1
3266,.391,1955,1,2,1,1,1,,,,1,1,,2,0,,,,,1,1,1,-1,1,1,1,,0,0,,4,0,0,0,1,1,0,0,0,1,0,0,0,0,800,,,,,,,,,,,,,0,,,,0,3,1,2,0,2,1,1,,,,,,2,6,,,0,1,0,0,0,1,0,0,0,0,0,0,,,,,6000,38000,0,,120,250,0,,1,2006,1,7,4,,0,0,0,0,-1,0,0,2,1,0,0,0,0,0,0,0,5,5,4,5,4,6,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,10,8,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,0,,0,1,1,1,,,,,,,,,,,,,,1,10,0,1,0,0,0,0,0,0,0,0,0,0,130000,,2,,,3,0,1000,0,1,,,,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,1,,,,4,1,1,,,1,58,5,3,13,4,1,2,1,3,1,17,1,1,4,9,2,93,0,0,0,1,2,1,1,1,1,.4542,44000,,,0,130000,7,7,1,0,7,1
1442,.9121,1985,1,2,1,1,1,,,,1,1,,1,,1,0,,,1,1,1,1,1,1,1,1,2,1,,3,1,0,0,,,,,,,,,,,,2011,,5,3,,,,,,,0,0,0,,,,2,2,4,2,,3,1,1,1,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,0,0,200,300,0,0,1,2009,1,8,3,,1,1,0,0,1,0,0,3,1,0,0,1,1,1,1,0,4,4,3,4,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,2,5,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,8,,0,0,1,1,,,,,,,,,,,,,,3,50,0,0,0,0,0,0,0,1,0,0,0,0,50000,,3,75000,,2,500,200,300,1,,,,,,,,,2,,0,1,0,0,0,0,0,0,0,0,0,1,1,2,,1,1,1,,,1,28,2,1,12,4,4,2,1,1,1,12,1,1,4,9,1,93,0,0,0,0,1,1,0,1,1,1.0381,6000,0,0,0,75000,6,5,1,1,8,1
168,1.4897,1953,5,1,,3,,,,,,,1,2,0,,,,,1,0,0,0,1,0,0,0,1,0,,6,1,0,0,0,0,0,1,0,0,0,0,0,1,1066,,,,,,,,,,,,,,,,0,0,3,4,3,0,1,1,1,0,1,1,1,1,1,,,,0,1,1,1,,,,,,,,,,,,,5000,,,,0,,,,0,,5,2,3,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,4,4,1,2,3,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,,,8,7,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,,1,0,3,3,2,,,,,,,0,0,1,1,0,0,3,0,,,,,,,,,,,,,35000,,3,40000,,2,1000,0,0,2,0,0,0,1,0,0,0,0,2,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,3,1,1,,,1,60,5,4,12,4,1,1,1,1,3,9,5,1,4,9,2,93,0,0,0,0,1,2,0,1,1,1.2208,5000,,,0,40000,4,4,0,1,2,1
4243,3.8944,1988,2,2,1,1,2,,,,2,0,,2,0,,,,,1,1,0,-1,1,1,0,,1,0,,4,1,1,0,0,0,0,0,1,0,0,0,0,2,850,,,,,,,,,,,,,1,,,,0,3,4,3,0,3,0,0,0,1,1,1,0,2,2,,,1,0,0,0,0,1,0,0,,,,,,,,,15000,5000,,,,,,,1,2010,5,1,3,1,1,1,0,1,1,1,1,3,0,0,0,1,0,0,0,0,3,3,3,2,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,1,0,1,1,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,12000,,1,20000,,3,0,500,500,2,0,0,0,1,0,0,0,0,1,0,,0,1,0,0,0,0,0,0,0,0,,1,1,,1,1,2,,,,25,2,1,8,1,4,2,1,1,1,4,5,1,4,9,2,93,0,0,0,0,1,3,1,1,1,3.8467,20000,,,1,20000,3,2,1,1,1,1
