user,location,tweet text,tweet date
BigHouseCasting,Los Angeles & Chicago,RT @UFCW175633: Bring your own equipment and wait for work: Working for Uber is a lot like being a dock worker a century ago... #GigEconomy…,2019-11-19 03:42:00
sharks1334,"London, England","RT @djt1940: Excellent article By @JimboStanford  explaining that #gigeconomy is reinvention of past poor practices.
Bring your own equipme…",2019-11-19 03:30:31
iipmr_iipmr,"Houstan, Texas","Truckers sue California, say new gig economy law would kill 70,000 jobs 

#contractors #truckers #sue #california… https://t.co/PnBHrmyS9F",2019-11-19 03:28:47
CorruptNSW,"Hell,Hades,Mictlan,Tartarus",RT @ThomasJCosta: Stop #WageTheft in the #GigEconomy https://t.co/aU6eNN5Nrz,2019-11-19 02:58:37
ThomasJCosta,"New South Wales, Australia",Stop #WageTheft in the #GigEconomy https://t.co/aU6eNN5Nrz,2019-11-19 02:53:43
FryGerard,Queensland. ,"RT @ak_pennington: In this keynote address, I outline some of the key factors limiting expansion of #Uber’s exploitative business model #gi…",2019-11-19 02:49:50
FryGerard,Queensland. ,"RT @ak_pennington: Next time you see #gig wrkrs pedaling the city, rmembr ""just in time"" gig wrk is feudal. Emplyrs have always tried to av…",2019-11-19 02:47:24
sharks1334,"London, England","RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-19 02:40:43
essexgeez,,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-19 02:23:08
UltraSMSScript,,Want to understand why #companies hire #marketing consultants over agencies or even build their own teams? Find out… https://t.co/pxswb0WBK4,2019-11-19 02:21:02
pivotcloud,Ireland,RT @eraser: Merging the Physical and the Digital using blockchains. Vinay Gupta @leashless — Oslo Blockchain Day — #Video https://t.co/gPRT…,2019-11-19 02:15:45
BobbyOrgan1,"Croydon, London","RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-19 02:02:09
normbond,"Bangkok, Thailand + USA",6 Reasons You Need A Side Hustle #sidehustle #gigeconomy https://t.co/87iVTADowt,2019-11-19 01:38:00
SocialMktgSltns,"Fort Collins, Colorado","""Casual earners"" use the #gigeconomy to supplement their income. The speed to access these earners can be easily do… https://t.co/HwVnReqG0f",2019-11-19 01:30:22
Buckiemohawk,mohawkville,RT @UFCW175633: Bring your own equipment and wait for work: Working for Uber is a lot like being a dock worker a century ago... #GigEconomy…,2019-11-19 01:29:52
walkcycleau,"Port Adelaide, South Australia",RT @CARRS_Q: Problem with increased #micromobility is that they are often launched in cities without appropriate #infrastructure in place #…,2019-11-19 01:28:22
GEMNOW,Worldwide,"RT @NatWestBusiness: It's #GlobalEntrepreneurshipWeek: What better time to examine the latest GEM Report? 

A comprehensive study into entr…",2019-11-19 01:20:55
RonSuber,,"RT @qwil: Great to see #NewJersey meeting the needs of the #gigeconomy, and we hope they learn from the aspects that #Californa got wrong (…",2019-11-19 01:19:23
KatDon1,"Chicago, IL","RT @infoworks: Many thanks to author Sarah Kessler for sharing her insights on the gig economy, its challenges, and the future of work in h…",2019-11-19 01:19:12
qwil,"San Francisco, CA","Great to see #NewJersey meeting the needs of the #gigeconomy, and we hope they learn from the aspects that… https://t.co/WhKZ4DP3Za",2019-11-19 01:17:26
MissKayeSera,,"RT @senator_sheldon: The headline says it all. Welcome to the dystopian hunger games of food delivery in Australia's #GigEconomy
https://t.…",2019-11-19 01:09:53
svidojevic,,RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-19 01:01:32
PubNBlogLl,"Fort Collins, CO",Here are the top 11 tips for independent contractors to hold on to your valuable clients! #gigeconomy  https://t.co/9l0CzEDB4Y,2019-11-19 01:01:26
djt1940,,"@JimboStanford 
#gigeconomy is reinvention of past (outlawed ) practices
@davecraige @SebastinPatron3 
 Bring your… https://t.co/EInEjAC4Yh",2019-11-19 01:01:20
NoMoreBooks,,RT @UFCW175633: Bring your own equipment and wait for work: Working for Uber is a lot like being a dock worker a century ago... #GigEconomy…,2019-11-19 00:59:37
UBERTRUTH2,"New York, NY",RT @UFCW175633: Bring your own equipment and wait for work: Working for Uber is a lot like being a dock worker a century ago... #GigEconomy…,2019-11-19 00:47:38
TheSoulCab,Cali,RT @UFCW175633: Bring your own equipment and wait for work: Working for Uber is a lot like being a dock worker a century ago... #GigEconomy…,2019-11-19 00:45:52
TheSoulCab,Cali,"RT @djt1940: Excellent article By @JimboStanford  explaining that #gigeconomy is reinvention of past poor practices.
Bring your own equipme…",2019-11-19 00:32:21
PaulDDDaughters,LONDON,RT @DDDaughters: Bring your own equipment and wait for work: Working for #Uber is a lot like being a dock worker a century ago #GigEconomy…,2019-11-19 00:25:16
lcdcutag,,RT @DDDaughters: Bring your own equipment and wait for work: Working for #Uber is a lot like being a dock worker a century ago #GigEconomy…,2019-11-19 00:21:26
DrBenBeck,"Monash University, Australia",RT @CARRS_Q: Problem with increased #micromobility is that they are often launched in cities without appropriate #infrastructure in place #…,2019-11-19 00:09:30
Career_Karma,"San Francisco, CA","Freelancing is the future, especially in the growing #gigeconomy. Check out this #CareerKarma list of top freelance… https://t.co/VKU4tVTz5p",2019-11-19 00:08:44
BookingsEt,,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-19 00:06:59
CARRS_Q,Brisbane,Problem with increased #micromobility is that they are often launched in cities without appropriate #infrastructure… https://t.co/r9iCLHcGjz,2019-11-19 00:05:12
1KristyVance,guess,RT @UFCW175633: Bring your own equipment and wait for work: Working for Uber is a lot like being a dock worker a century ago... #GigEconomy…,2019-11-19 00:03:47
eraser,Sevilla,An insight into the future of blockchain data technology. #Infographic #Infografía https://t.co/WEBphyOuT0… https://t.co/p82jH0MUZB,2019-11-19 00:00:38
SBS_UMass,"Amherst, MA","Tomorrow! @JulietSchor, professor of sociology at @BostonCollege, will deliver the 5th annual Samuel Bowles lecture… https://t.co/g8E7p8Y8nv",2019-11-19 00:00:07
gravitysydney,"Sacramento, CA","RT @UCDavisEngaged: Wildfires, legal battles and the #gigeconomy, oh my. Join @aigilson, @scianalysis and Teresa Feo of @CCSTorg for Policy…",2019-11-18 23:48:49
alan_winfield,Bristol,RT @DorotheaBaur: A bewildering look into Amazon‘s Mechanical Turk website. I made 1.20 USD an hour... ht ⁦@guidopalazzo⁩ #Amazon #GigEcono…,2019-11-18 23:43:45
djt1940,,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-18 23:43:30
Love_In_Loveout,,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-18 23:23:44
lyftdashuber,"California, USA",How To Cash Out On Grubhub https://t.co/tlaK9zAh5N via @YouTube #Grubhub #instantcashout #grubhubdriver… https://t.co/5ZsjjQXM6P,2019-11-18 23:16:32
cherylcran,,RT @nextmapping: The #GigEconomy is the new normal in 2020 and it is already adding $715 billion annually to the economy through #freelance…,2019-11-18 22:51:19
popula,local to the world,"RT @white_ravenoak: If you like #HyperCapitalism and the #GigEconomy or just #HateHumans, you'll love #GhostKitchens!

https://t.co/hVIfovi…",2019-11-18 22:29:48
IanDudzRM,Bristol & Somerset,"RT @NatWestBusiness: It's #GlobalEntrepreneurshipWeek: What better time to examine the latest GEM Report? 

A comprehensive study into entr…",2019-11-18 22:23:47
CCSTorg,"Sacramento, CA","RT @UCDavisEngaged: Wildfires, legal battles and the #gigeconomy, oh my. Join @aigilson, @scianalysis and Teresa Feo of @CCSTorg for Policy…",2019-11-18 22:20:18
white_ravenoak,Southern Cascadia,"If you like #HyperCapitalism and the #GigEconomy or just #HateHumans, you'll love #GhostKitchens!… https://t.co/pDh8TPyQvx",2019-11-18 22:15:53
ITS_UCDavis,"Davis, California","RT @UCDavisEngaged: Wildfires, legal battles and the #gigeconomy, oh my. Join @aigilson, @scianalysis and Teresa Feo of @CCSTorg for Policy…",2019-11-18 22:15:52
UCDavisEngaged,UC Davis,"Wildfires, legal battles and the #gigeconomy, oh my. Join @aigilson, @scianalysis and Teresa Feo of @CCSTorg for Po… https://t.co/vjsa2GF2Zd",2019-11-18 22:15:00
PhoenixEvCoach,Living Amongst You ,RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-18 22:09:46
JPB_HMRC_Target,"England, United Kingdom",RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-18 22:02:17
Jobbleapp,"Boston, MA",RT @GigRoundup: You don't need a car to make some extra cash. The ability to make a living on the side still exists if you have a bike. via…,2019-11-18 22:01:17
GigRoundup,"Boston, MA",You don't need a car to make some extra cash. The ability to make a living on the side still exists if you have a b… https://t.co/1iyaexoz1J,2019-11-18 21:59:57
Jeremy972i,,RT @CXC_AUS: How #AI is fuelling the rise of #gigeconomy via @PeopleMatters2 #FutureOfWork https://t.co/vC1bNbtRPt,2019-11-18 21:57:49
CXC_AUS,"Australia, The World",How #AI is fuelling the rise of #gigeconomy via @PeopleMatters2 #FutureOfWork https://t.co/vC1bNbtRPt,2019-11-18 21:57:05
ltercation,The Antipodes,"RT @ltercation: **Thank you** @TWUAus for helping exploited workers stand up for their rights. 

Unregulated multinationals = unelected gov…",2019-11-18 21:50:55
ltercation,The Antipodes,"RT @ltercation: Unregulated multinationals = unelected government.

F*ck the #gigeconomy:
https://t.co/sfu5xgAro2 https://t.co/Rtwai7iuwo",2019-11-18 21:50:51
ltercation,The Antipodes,"RT @ltercation: Kudos to this brave woman and her husband taking on @Uber for ""dystopian"" working conditions with the support of @TWUAus.…",2019-11-18 21:50:20
1980smusic1,"England, United Kingdom",RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-18 21:47:28
Enty70273986,,RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-18 21:44:28
philanthrobot,,How might we allow Textiles to act more terribly? #gigeconomy,2019-11-18 21:42:07
ThePastBites,,"@Uber and @lyft drivers often pay the platforms through their expenses to give rides to clients. Also, what other c… https://t.co/4YDSTNqfef",2019-11-18 21:39:47
PadiDidIt,Worldwide,RT @evankirstel: I Found Work on an Amazon Website. I Made 97 Cents an Hour. #amazon https://t.co/1Icc7Gqhsw #gigeconomy,2019-11-18 21:39:23
KobmaxQueen,"Lagos, Nigeria",RT MikeSchiemer: 7 Online Side Hustles For College Students https://t.co/7ERzWUycuI  /  #SideGig #GigEconomy… https://t.co/YJFM6prObE,2019-11-18 21:33:06
ColorSTREAMedia,"Johannesburg, South Africa",RT @evankirstel: I Found Work on an Amazon Website. I Made 97 Cents an Hour. #amazon https://t.co/1Icc7Gqhsw #gigeconomy,2019-11-18 21:31:50
MikeSchiemer,$10 Startup | Google Page 1,RT @MikeSchiemer: 7 Online Side Hustles For College Students https://t.co/q9Q73rqtdb  /  #SideGig #GigEconomy #College #University #SideHus…,2019-11-18 21:31:28
brucekun1,California,"RT @djt1940: Excellent article By @JimboStanford  explaining that #gigeconomy is reinvention of past poor practices.
Bring your own equipme…",2019-11-18 21:26:20
Wonolo,"San Francisco, CA",Here are 6 #gigeconomy trends to watch out for in the next year! https://t.co/pg4fXS5fW3,2019-11-18 21:21:17
RichSimmondsZA,South Africa,RT @evankirstel: I Found Work on an Amazon Website. I Made 97 Cents an Hour. #amazon https://t.co/1Icc7Gqhsw #gigeconomy,2019-11-18 21:16:02
MachaneYazid,"Vancouver, BC, canada",RT @eraser: AROUND THE BLOCK | #Video Blockchain. Alberto Gomez @gotoalberto @Bankia https://t.co/NbmwpCOOIT #blockchain #fintech #banking…,2019-11-18 21:10:46
TheHippoShoe,"Centurion, South Africa",RT @evankirstel: I Found Work on an Amazon Website. I Made 97 Cents an Hour. #amazon https://t.co/1Icc7Gqhsw #gigeconomy,2019-11-18 21:07:23
BenNeb79,,RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-18 21:05:58
bissettfinfit,"Toronto, Ontario","What is Susan Diaz’s, founder of @c_p_digital, biggest pet peeve? Giggers who underprice themselves in the market.… https://t.co/CZpwiqMamh",2019-11-18 21:05:04
amanda_mandyrj,,"RT @djt1940: Excellent article By @JimboStanford  explaining that #gigeconomy is reinvention of past poor practices.
Bring your own equipme…",2019-11-18 21:04:01
YcmiYcmiu,,"RT @djt1940: Excellent article By @JimboStanford  explaining that #gigeconomy is reinvention of past poor practices.
Bring your own equipme…",2019-11-18 21:00:00
kfgibson,"Vancouver, WA","RT @djt1940: Excellent article By @JimboStanford  explaining that #gigeconomy is reinvention of past poor practices.
Bring your own equipme…",2019-11-18 20:54:50
CarolineCheasty,,RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-18 20:53:04
dianemulcahy,Boston MA,RT @jtennery: Bravo @dianemulcahy on putting forward a pragmatic/ sensible approach to help indpendent workers with #HealthInsurance &amp; #tax…,2019-11-18 20:52:01
andrewmorrisuk,Bedford,RT @eraser: AROUND THE BLOCK | #Video Blockchain. Alberto Gomez @gotoalberto @Bankia https://t.co/NbmwpCOOIT #blockchain #fintech #banking…,2019-11-18 20:51:52
eraser,Sevilla,AROUND THE BLOCK | #Video Blockchain. Alberto Gomez @gotoalberto @Bankia https://t.co/NbmwpCOOIT #blockchain… https://t.co/fXuaVA3hnz,2019-11-18 20:50:03
InnovationNJ,"New Brunswick, NJ",RT @DHSebastian: There are opportunities to address concerns surrounding the #GigEconomy to create a better environment for workers while r…,2019-11-18 20:43:48
BootstrapsBiz,Boston | #BootstrapBusiness,RT @MikeSchiemer: 7 Online Side Hustles For College Students https://t.co/q9Q73rqtdb  /  #SideGig #GigEconomy #College #University #SideHus…,2019-11-18 20:42:29
alohaleelee,"Dallas, TX","As competition for talent increases, progressive #smallbusinesses are deploying work-at-home models to attract bett… https://t.co/ye4AmwhNHS",2019-11-18 20:40:11
bathreya1,,Tech workers sound a lot more ethical than tech executives.  They need a collective voice.  #gigeconomy… https://t.co/5g10Au5yrK,2019-11-18 20:36:44
AFTWA,"Tukwila, WA",RT @UFCW175633: Bring your own equipment and wait for work: Working for Uber is a lot like being a dock worker a century ago... #GigEconomy…,2019-11-18 20:36:16
10DollarSTARTUP,Read Prologue: Goo.gl/kPE0fV,RT @MikeSchiemer: 7 Online Side Hustles For College Students https://t.co/q9Q73rqtdb  /  #SideGig #GigEconomy #College #University #SideHus…,2019-11-18 20:34:18
bishopandcoHI,"Honolulu, HI","Gig or traditional job? Be prepared for both with these tips from our blog.

#jobs #employment #gigeconomy… https://t.co/Nurrp7B98A",2019-11-18 20:31:12
ODI_SimonGill,,RT @abiehunt: heard about litigation by workers against #uber &amp; other #gigeconomy companies but not sure what it’s all about? Nice summary…,2019-11-18 20:30:44
MelaynaLokosky,Scottsdale (born Pittsburgh),"RT @djt1940: Excellent article By @JimboStanford  explaining that #gigeconomy is reinvention of past poor practices.
Bring your own equipme…",2019-11-18 20:30:29
SeanIngold,Greater New York City Area,Uber and Lyft unveiled new details of their $90 million fight to keep drivers classified as independent contractors… https://t.co/9vmcK1ymqR,2019-11-18 20:30:02
Purgatory_HMRC,,RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-18 20:29:50
mybenchsme,"San Francisco, CA",Stack your bench with subject matter experts who are worth their salt. Find the perfect match at… https://t.co/vjmaKQE6fF,2019-11-18 20:23:17
mitsloanexperts,"Cambridge, MA","Transportation apps are rapidly transforming markets, but @MIT professor @JasonBJackson says there are still debate… https://t.co/SLugBcMADf",2019-11-18 20:22:01
thegingerpig,,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-18 20:20:35
cczona,San Francisco,RT @DorotheaBaur: A bewildering look into Amazon‘s Mechanical Turk website. I made 1.20 USD an hour... ht ⁦@guidopalazzo⁩ #Amazon #GigEcono…,2019-11-18 20:20:04
techie_wiz,Global,"RT @eraser: Chart: The World’s Largest 10 Economies in 2030 
@visualcap
 #NWO #NOW #digitaltransformation #SharingEconomy #Asia #GIGeconomy…",2019-11-18 20:18:26
SkilliApp,"Calgary, Alberta","“It is no longer a millennial preference, but a part of modern society”. - Rinne
#sharingeconomy #gigeconomy #GigEm… https://t.co/hSRJ3l8NuD",2019-11-18 20:17:31
eraser,Sevilla,"Chart: The World’s Largest 10 Economies in 2030 
@visualcap
 #NWO #NOW #digitaltransformation #SharingEconomy #Asia… https://t.co/Q8oDFVLJyC",2019-11-18 20:16:31
DowensGary,,RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-18 20:13:42
infoworks,Global,"Many thanks to author Sarah Kessler for sharing her insights on the gig economy, its challenges, and the future of… https://t.co/uWomJoJtq0",2019-11-18 20:12:12
LC2019Travesty,,RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-18 20:07:34
punishpromoters,Weybridge,RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-18 20:06:00
Sidco14,,RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-18 20:02:39
gignowglobal,,"#FlexibleWorking has the power to engage and excite workers, with research showing that flexible workers are often… https://t.co/ivxfJ4dlYK",2019-11-18 20:02:00
chunkylover25,"Ayrshire, Scotland",RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-18 20:01:40
edbanger1,London,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-18 20:01:14
TaxUnjust,Europe,The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexibl… https://t.co/PSDsexurQq,2019-11-18 20:00:53
eraser,Sevilla,“Smart Cities: Investing in the Future”. London: The Economist Intelligence Unit e Invesco https://t.co/GchBdrNJkn… https://t.co/kEDaeWhGgl,2019-11-18 20:00:51
DorotheaBaur,"Zürich, Schweiz",A bewildering look into Amazon‘s Mechanical Turk website. I made 1.20 USD an hour... ht ⁦@guidopalazzo⁩ #Amazon… https://t.co/Ygs19wRROk,2019-11-18 19:56:27
iFrugalFitness,World Wide Wellness | USA,RT @MikeSchiemer: 7 Online Side Hustles For College Students https://t.co/q9Q73rqtdb  /  #SideGig #GigEconomy #College #University #SideHus…,2019-11-18 19:56:17
Frugal__Finance,snapchat.com/add/mikeschiemer,RT @MikeSchiemer: 7 Online Side Hustles For College Students https://t.co/q9Q73rqtdb  /  #SideGig #GigEconomy #College #University #SideHus…,2019-11-18 19:53:26
ClearVoice,"Phoenix, AZ",The Gig Economy is changing how businesses operate. Consider these things to leverage the power of the changing job… https://t.co/3ds8cvGl9k,2019-11-18 19:48:07
rothwell_scott,lost but there's a beach.,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-18 19:43:16
IQTalent,"Nashville, TN",Companies that leverage gig workers can operate with fewer full-time employees and reduce fixed costs by using thes… https://t.co/t2zU9CSJ5c,2019-11-18 19:42:02
djt1940,,"Excellent article By @JimboStanford  explaining that #gigeconomy is reinvention of past poor practices.
Bring your… https://t.co/iOdNvSfNSF",2019-11-18 19:41:58
bitiji,Zevilla ciberespaciá,RT @eraser: BASE: Blockchain and Sharing Economy. Blockchain Commons. @JoSanKu Wehome @WeHomeMe https://t.co/2r7sOPJF29 #blockchain #sharin…,2019-11-18 19:32:17
TheSoulCab,Cali,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-18 19:18:51
RDS_Cleaver,,"For a possible story, do any small #biz owners out there use a co-work site? #gigeconomy",2019-11-18 19:17:49
bloggersinusa,United States,"RT @juanblanco76: 14% of the #gigeconomy are ""Relunctants"". This is their primary income out of necessity due to to lifestyle or other life…",2019-11-18 19:16:02
JFidelman,New York,"Great spaces recently launched in CT, NY, and FL #coworkingspace #gigeconomy gSpace Coworking https://t.co/zZJuchdVCR",2019-11-18 19:10:32
FastlaneMillio1,"Paris, France","RT @CeterisPS: ""Lawmakers approved a measure that would classify...#NewJersey #independentcontractors, #freelance &amp; #gigeconomy workers as…",2019-11-18 19:10:07
workmarket,"Manhattan, NY",Here are 4 ways insurance firms can easily leverage on-demand talent and how a Freelance Management System can help… https://t.co/0asfxtn249,2019-11-18 19:10:04
ReelResearch,"Drumcondra, Dublin, Ireland.","RT @CUBSucc: An important upcoming @hrcentre_ucc public seminar this month which focuses on the gig economy, the role of technology &amp; the o…",2019-11-18 19:09:36
srujana_katta,"Oxford, England",RT @abiehunt: heard about litigation by workers against #uber &amp; other #gigeconomy companies but not sure what it’s all about? Nice summary…,2019-11-18 19:02:34
CeterisPS,"Mt. Laurel, NJ","""Lawmakers approved a measure that would classify...#NewJersey #independentcontractors, #freelance &amp; #gigeconomy wo… https://t.co/dV9OifMtuQ",2019-11-18 19:00:03
TowardsFairWork,,RT @abiehunt: heard about litigation by workers against #uber &amp; other #gigeconomy companies but not sure what it’s all about? Nice summary…,2019-11-18 18:59:25
abiehunt,London,heard about litigation by workers against #uber &amp; other #gigeconomy companies but not sure what it’s all about? Nic… https://t.co/Ro9p34dIrB,2019-11-18 18:58:38
DHSebastian,"Newark, NJ",There are opportunities to address concerns surrounding the #GigEconomy to create a better environment for workers… https://t.co/Z2XxJDHey3,2019-11-18 18:56:01
HotwaxAngie,,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-18 18:47:26
lyftdashuber,"California, USA","Grubhub Instant Cash Out Is Live In My Market! But, How Instant Is It? https://t.co/rNKiLm3yzJ via @YouTube… https://t.co/iFeXvXHBRE",2019-11-18 18:45:42
ConanTheCabbie1,,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-18 18:44:07
Bob_Lyons,Detroit,"So, Are Sports #Referees #Employees or #IndependentContractors?  #gigeconomy #gigwork #freelancers https://t.co/vzKNs6WrWp",2019-11-18 18:40:29
LeeLawrence65,New Malden,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-18 18:35:06
ItexKansasCity,"Overland Park, KS","RT @FXofKC: Business Owners and Managers, wondering how to make use of the Gig Economy? Then FX member &amp; founder, Julie Cortes' session at…",2019-11-18 18:25:15
KobmaxQueen,"Lagos, Nigeria",7 Online Side Hustles For College Students https://t.co/7ERzWUycuI  /  #SideGig #GigEconomy #College #University… https://t.co/sexJluGLU2,2019-11-18 18:23:20
MikeSchiemer,$10 Startup | Google Page 1,7 Online Side Hustles For College Students https://t.co/q9Q73rqtdb  /  #SideGig #GigEconomy #College #University… https://t.co/uxGpeeQgkx,2019-11-18 18:22:36
FlsaToday,"San Francisco, CA",RT @LazearMack: AUS: Uber Eats driver sacked for being 10 minutes late seeks tribunal appeal #gigeconomy #emplaw #employmentlaw https://t.c…,2019-11-18 18:19:33
LinWriter,Wisconsin/Minnesota area,11 productivity tips for remote workers https://t.co/7Uvzi4UrrD via @RaganComms #gigeconomy #workingsmarter… https://t.co/KH4Lz9v9P2,2019-11-18 18:15:18
NJCU_Careers,"Jersey City, NJ",RT @UFCW175633: Bring your own equipment and wait for work: Working for Uber is a lot like being a dock worker a century ago... #GigEconomy…,2019-11-18 18:15:11
CoimbraSummit,"Coimbra, Portugal",RT @dianemulcahy: Great being on the #Venture stage at #WebSummit to talk about winning the war for talent in the #GIgEconomy https://t.co/…,2019-11-18 18:13:21
DanStalp,"Overland Park, KS","RT @FXofKC: Business Owners and Managers, wondering how to make use of the Gig Economy? Then FX member &amp; founder, Julie Cortes' session at…",2019-11-18 18:12:46
nazz1396,,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-18 18:05:41
dianemulcahy,Boston MA,Great being on the #Venture stage at #WebSummit to talk about winning the war for talent in the #GIgEconomy https://t.co/1TrbpNbQaO,2019-11-18 18:05:06
LawrencePhilli5,,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-18 18:04:12
Patricksdevils1,,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-18 17:58:57
